identifier_file,local_note,title,title_other,title_part,abstract,date_text,collection,collection_identifier,shelf_locator,extent,genre,form,language,name,name_role,name 2,name_role 2,publisher,place_of_origin,series_title,subject_geographic,subject_name,subject_name 2,subject_topical,subject_topical 2,project_title,repository,rights,public_note,public_note 2,note_provenance
0012_000416_000011,"add ""newspaper"" to form? also not super certain about how to format title, etc. No authority record for creator (The Conflict Publishing Co), 6 pages front-and-back/not 12 full pages",The Conflict,"Volume 1, Number 8",,"Volume 1, Number 8 of the newspaper of the Anti-Evolution League of America",1925-04-22,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 1","1 newspaper (12 pages, 20 x 13 inches)",,,eng,Anti-Evolution League of America,Creator,,,The Conflict Publishing Co.,"Memphis, Tenn.",The Conflict,,,,Bible and evolution,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000012,"A second copy of ""The Conflict"" is alongside the notes, though not a part of this section.",Walton and Whitaker...,,,"Small note pages with handwritten, numbered lists of points by source",unknown,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 1","1 manuscript (4 pages, 4.5 x 3 inches)",,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,,,,,,Bible and evolution,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,"Walton & Whitaker.
1. Contradiction -
2. Bible not literal.
3. St. PaulÃ¢â‚¬â„¢s statement allegorical.
Shaler Matthews
1. Interpretation of Bible
Cooper Pope (scientists)
1. Evolution [illegible] [story?] of [illegible]
{2}
2. Facts showing evolution of men [or?] retation of men to other animals.
3. Embryo, hair of baby.
4. [common?] stock.
5. [illegible] Ã‚Â man in Java.
5 other fossil [illegible]
6 [illegible] scullHeidleburg man,
{3}
7. In anatol [illegible]
8 cro-magnon man,
9. [illegible, 2 words]
[illegible]
1. Ages defined.
2. [Tennessee?] [Mountains?] formation.
3. Rocky [mountain?] [illegible]
{4}
Rv. P. Curtismin. of mo.Anthropologist & Zoologist.
1. [illegible, 2 words]",,
0012_000416_000013,,BIBLE---GEOLOGY---SCIENCE...,,,"Typewritten manuscript describing the relationships between Bible, Science, and Geology, with related quotes attributed to famous historical figures",unknown,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 1",1 manuscript (3 pages),,manuscripts (document genre),eng,unknown,Creator,,,,,,,,,Bible and evolution,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000014,,EVOLUTION IS NOT A SCIENTIFIC FACT,,,Typewritten manuscript arguing against evolution,unknown,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 1",1 manuscript (5 pages),,manuscripts (document genre),eng,unknown,Creator,,,,,,,,,Bible and evolution,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000015,,"RESOLVED, That We Debar the Teaching of Evolution from Tax-Supported Schools",,,Speech arguing for barring the teaching of evolution from tax-supported schools ,1925-07-14,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 1 ",1 speech (27 pages),,speeches (documents),eng,"Baker, Alonzo L.",Speaker,,,,"San Francisco, California",,,,,Evolution (Biology)--Study and teaching--Law and legislation,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000016,,Indictment of John Thomas Scopes,,,Draft copy of the indictment of John Thomas Scopes,1925,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 2",1 manuscript (1 page),indictment,manuscripts (document genre),eng,Tennessee. Circuit Court (Rhea County),Creator,,,,"Rhea County, Tennessee",,, ,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",Public domain.,,,
0012_000416_000017,"Newspaper clippings are set alongside the document, but not included",Butler Act,,,"Typewritten copy of the Butler Act, the Tennessee law on evolution that John Thomas Scopes was charged with violating.",1925-03-21,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 2",1 manuscript (1 page),legislative act,manuscripts (document genre),eng,Tennessee.  ,Creator,,,,Tennessee,,,,,Evolution (Biology)--Study and teaching--Law and legislation,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",Public domain.,,,
0012_000416_000018,,Draft of legal argument for prosecution in Scopes trial,,,"Typewritten draft of legal argument for prosecution in Scopes trial, not delivered at trial.",[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 2",1 manuscript (6 pages),,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, Tennessee",,, ,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000019,,Outline of speech,,,Handwritten outline of argument for the prosecution in the Scopes trial,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 2",1 manuscript (9 pages),,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, Tennessee",,, ,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,Written on back of Tennessee Mutual Building & Loan Association (of Chattanooga) letterhead.  ,"Probably outline for speech in 0018...1Outline of Speech
[stricken: A]. I Introduction.[stricken: A. Pride in opportunity of speaking before the jury on the subject.]A. Pride in opportunity [afforded?] by speech.1. Proud to appear before Jury(a) Body of men with whom I am acquainted personally.(b) men of anglo Saxon Blood,(c) well qualified to decide these issues.
[stricken: B.] Proud to appear in support of this law.(a) - Happy to be upholding StateÃ¢â‚¬â„¢s laws.[stricken: illegible] - (1) The legislature is voice of the people of Tennes.(2) [All?] state laws should be upheld by all [stricken: illegible] citizens.(b) - Happy to support a law for the protection of our future citizens.(c) - Happy to be lined up in support of the Bible.(1) we are at a place where there is a direct attempt to discredit the bible.(d) - Happy to assist the [cause?] of science
2[stricken: in fig] in fighting dogmatists who try to direct scientific research along the lines of their beliefs and [desires?](1) [stricken: A large number] a large number of scientists have already made up their minds and are trying to get evidence to support their beliefs instead of weighing all evidence open minded.
B. Seriousness of case.1 - Involves right of legislature to control schools(a) To determine whether teacher can teach his [stricken: desires &] beliefs without restraint in public tax supported schools.(1) may teach any subject he [desires?] if left alone(2) Teach unproven theories.
[stricken: 2 - Involves right to teach the youth of our country theories unproven]2 - Other states await [stricken: illegible] [stricken: your decision] your decision [&] the decision of the Supreme Courts on this question.(a) They want to control their own teachers.(b) They want to study the affects of teachers teaching evolution.
3 - unfortunate ridicule case has recieved.(a) The Nature of the subject of legislation [partly?] [come?] of ridicule.
3(b) Certain elements [stricken: connected with case] have [stricken: made] used case [stricken: opportunity] as [illegible] in which to advertise themselves.
[stricken] (c) Because the subject of evolution [stricken: & the bible] has become [stricken: a great] a bone of contention among the ministers of the country.(1) Bishop BrownÃ¢â‚¬â„¢s expulsion etc.(2) [Been Brewing?] for years.
(d) [stricken: Any] [stricken: The act refers] Reference to the bible [stricken: which] always excites interest of everybody and in[v?]ites [stricken: criticize?] criticism [&] [illegible] from [stricken: of the] the enemies of the bible.
[stricken] C. -
4II Body -A - Issues Involved1. Constitutional questions Raised.a. not within the [providence?] of Jury to decide.
[stricken: 2.]2 - Does evidence show Scopes guilty of violating this Act?(a) Taught man originated in the sea with the one celled animals [&] developed to what he is today.
[stricken: 3.] (b) conflicts with bible story of creation.(1) Bible says that each species was intended to reproduce Ã¢â‚¬Å“after its kind.Ã¢â‚¬ï¿½ Gen. 1st chapter verses 11, 12, 21, 24 [&] 25.(2) Bible says that man was created in his own image. On [stricken: verse?] Gen 1:26 we 
5read Ã¢â‚¬Å“And God said, let us make Man in our image, after our likeness.Ã¢â‚¬ï¿½ In the Hebrew language the verb translated Ã¢â‚¬Å“makeÃ¢â‚¬ï¿½ its _ ([The?] Bible Brief).
(3) Not necessary for you to determine how the bible should be interpreted for the legislature [examined?] its power [&] [expressed?] its meaning when it said Ã¢â‚¬Å“And instead that Man descended from a [lower] order of animals.Ã¢â‚¬ï¿½
(c) Taught DarwinÃ¢â‚¬â„¢s theory [&] De [Vries?]Ã¢â‚¬â„¢ theory [from?] the Biology [text?] book Pages 164-165 252, 253, 254 [&] 255.
6III ConclusionA - Why [stricken: should] you should convict Scopes.
1. Because violated law of state(a) It is your duty to uphold state laws.(1) you are sworn to uphold the law.
(b) you should be all the more stronger for upholding the laws of the state for there is an inclination by certain people to only obey the laws that they like and disobey the ones that they do not like.(1) look at [stricken: Nichols] Murray Butler.(2) Look at Roger Baldwin.
72 - Because Scopes is [stricken: doing] [undermining?] the morals of our children [stricken: and] [stricken: illegible] by teaching them a doctrine that [teaches/] every thin [stricken: established] [belief?] in an established religion and gives them nothing in return.
83 - Because Theories of evolution are unproven and are not reasonably substantiated by the very evidence on which they are based.(a) no way to tell whether or not the argument of monkeys and man shows a cronological development. It is just as reasonable to say that man appeared first and that the monkeys developed after and from [him?].(b)
94 Evolution has become a religious controversy and for this reason alone should not be taught in our public Schools.(a) Ministers of the church have been in disagreement for sometime.(b) Pennsylvania and other States have passed laws against reading [&] teaching the Bible in School, why not also eliminate anti bible doctrine such as evolution?",
0012_000416_000020,"One page front-and-back, two total",1. Mendel's Law of Heredity disproves evolution...,,,Handwritten list of arguments to counter the defense's pro-evolution arguments,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 2",1 manuscript (2 pages),,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, Tennessee",,, ,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,"1. MendelÃ¢â‚¬â„¢s Law of Heredity disproves Evolution.

2. If the rocks show the evidence of evolution why do they not also contain a complete chain? Why the missing links?
3. Evolution not modern theory. originated in Greece by Alexander [&] [Thales?] six centuries before Christ. They Held all things come from water. (Here cope pages 3 Ã¢â‚¬Å“the [Last?] word on EvolutionÃ¢â‚¬ï¿½ between [illegible])
4 NietzcheÃ¢â‚¬â„¢s Ã¢â‚¬Å“Survival of the FittestÃ¢â‚¬ï¿½ in Germany and what it did for Germany.
5 - [Apeman?] or Pithecanthropus a forgery. Pages 14 [&] 15 Ã¢â‚¬Å“Last word in EvolutionÃ¢â‚¬ï¿½. Pilldown Man
6 - CanÃ¢â‚¬â„¢t teach Bible in [our?] Schools [Why] teach Evolution.
6 Survival of Fittest, or natural selection carried to extreme means that we do no good by saving the weak or by vaccination etc.
7 The jury is not to [stricken: judge] pass [stricken: illegible] upon the wisdom of the law, [stricken: illegible] that has been done by the legislature. It is your duty to enforce the law.
8 - If man did not evolve from the [lower?] animals but came up from the primate stock as the defense claims, then there is no evidence whatever in the rocks of manÃ¢â‚¬â„¢s evolution.
9 - [Ashley?] Fossil [Ruls?] in L.C. 100 miles in diameter [&] 10 ft deep. Has been mined for fertilizer [since?] 1844. No evidence of evolution [ever?] found there.",
0012_000416_000021,,I am proud of this opportunity of appearing before you gentlemen in behalf of the state...,,,Typewritten draft of speech for prosecution in Scopes trial. ,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 2",1 manuscript (2 pages),,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, Tennessee",,, ,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,Closely related to 0023,No version of this speech appears in transcripts of the Scopes trial.,
0012_000416_000022,,INTRODUCTION...,,,Typewritten outline of speech for prosecution in the Scopes trial.,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 2",1 manuscript (1 page),,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, Tennessee",,, ,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,Outline for 0023.,,
0012_000416_000023,,"In behalf of the State, I want to thank you for the patience and attention which you have shown...",,,Typewritten draft of speech for prosecution in Scopes trial. ,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 2",1 manuscript (6 pages),,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, Tennessee",,, ,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,Closely related to 0021.,No version of this speech appears in transcripts of the Scopes trial.,
0012_000416_000024,,Direct Creation Vs. Evolution,,,Typewritten argument refuting evolution and promoting creationism.,unknown,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 2",1 manuscript (7 pages),,manuscripts (document genre),eng,"Beaman, T.L.",Creator,,,,"Knoxville, Tennessee",,,,,Bible and evolution,Creationism,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,contains handwritten annotations.,,
0012_000416_000025,"can we add ""press release"" as a form?",Tennessee's Anti-Evolution Law is stirring intense interest...,,,"Press release from The Watchman Magazine defending the Butler Act, which bars teachers from teaching evolution",[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 2",1 press release (3 pages),,,eng,Watchman Magazine,Creator,,,Southern Publishing Association,"Nashville, Tennessee",,,,,Evolution (Biology)--Study and teaching--Law and legislation,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000026,,"Thomas Huxley, the great English scientist...",,,Short typewritten list of Thomas Huxley quotes on the subject of science,1925-06-23,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 2",1 manuscript (1 page),,manuscripts (document genre),eng,"Boyd, Leroy S.",Author,,,,"Arlington, Virginia",,,,,Science,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000027,,"Anaximander, a Grecian Evolutionist...",,,Draft recounting ancient Greek scholars and their views on evolution,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 2",1 manuscript (2 pages),,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,,,,,,Evolution,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000028,,Letter from J.R. Cottingham of Kansas City to Prosecuting Attorney on Scopes Case,,,Letter relaying scientific proofs against evolution that sender thought might be helpful in prosecuting Mr. Scopes,1925-06-29,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 2",1 letter (2 pages),,correspondence,eng,"Cottingham, J.R.",Creator,,,,"Kansas City, Missouri",,,,,"Scopes, John Thomas--Trials, litigation, etc.",Evolution,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000029,,An atom is made up of thousands of electrons...,,,Handwritten argument disputing evolution based on nature of electrons,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 2",1 manuscript (2 pages),,manuscripts (document genre),eng,"Hicks, Sue K.",Creator,,,, ,,,,,"Scopes, John Thomas--Trials, litigation, etc.",Evolution,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,Written on back of Tennessee Mutual Building & Loan Association (of Chattanooga) letterhead. First two pages of a longer document.,"1SKH [Data?]
An atom is made up of thousands of electrons which are constantly moving at the rate of 180,000 miles per second, or the speed of light. These electrons are so minute that one hundred thousand of them can lie in the diameter of an atom, and many more within its circumference. The atom itself is so small that these hundred millions of them can lie within the space of one inch. Think of that, and yet think of the hundreds of thousands of electrons within this atom! These scientists further tell us that [stricken: these electrons] constitution of the atom is dependent upon these electrons: on their number, their2position, their temperature, and their electrical condition. The substance may be iron, wood water or stone according to the[stricken: se] condition of the election within the atoms which make up the substance. And yet the first [stricken: cell] life in your fossils is the cell, which is composed of many atoms. When god made an atom, [stricken: a world within itself] / he made a world within itself. [stricken: Why] [stricken: Can] [stricken: would it be] if God [stricken: did that] performed this wonderful task, why not [stricken: f[illegible]] just make man also as that only entailed a very little more work. He made",
0012_000416_000030,,Letter from E.W. Brickert to Sue K. Hicks,,,"Letter sympathizing with Hicks about geologists and their guesses about the age of fossils, and an annotated page from ""The Problem of Human Life""  by Alexander Wilford Hall",1925-07-03,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 2",1 letter (3 pages),,correspondence,eng,"Brickert, E.W.",Creator,, ,,"Olympia, Washington",,,,,"Scopes, John Thomas--Trials, litigation, etc.",Geology,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000031,"A copy of ""Resolved, that we debar the teaching of evolution..."" which appears in an earlier folder, is alongside this letter but not part of it","From Bertrand Russell's ""Icarus""...",,,"Quotes from Bertrand Russell's ""Icarus, or the Future of Science,"" London 1924. Sent to Sue K. Hicks by Leroy S. Boyd",1925-06-09,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 2",1 manuscript (1 page),,manuscripts (document genre),eng,"Boyd, Leroy S.",Author,,,,"Arlington, Virginia",,,,,Science,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000032,"Other (misc) papers appear alongside this set in the folder, but are not included",WHAT ARE TENNESSEE'S RESOURCES?,,,"Report on Tennessee's natural resources, focusing on East Tennessee. The author argues cheap power is needed and that Tennessee has great wealth in minerals",unknown,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 2",1 manuscript (6 pages),,manuscripts (document genre),eng,unknown,Creator,,,,,,,,,Mines and mineral resources--Tennessee.,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
